,precision,recall,f1-score,support
Depression,0.9428745062291097,0.99296,0.9672693266832918,3125.0
High Blood Pressure,0.9540740740740741,0.822477650063857,0.8834019204389575,783.0
Type 2 Diabetes,0.9719626168224299,0.9021065675340768,0.9357326478149101,807.0
accuracy,0.9490986214209968,0.9490986214209968,0.9490986214209968,0.9490986214209968
macro avg,0.9563037323752046,0.9058480725326445,0.9288012983123864,4715.0
weighted avg,0.9497129721615416,0.9490986214209968,0.9479441349683189,4715.0
