,precision,recall,f1-score,support
Depression,0.9676507537688442,0.98592,0.9766999524488825,3125.0
High Blood Pressure,0.9288590604026845,0.8837803320561941,0.9057591623036649,783.0
Type 2 Diabetes,0.9707379134860051,0.9454770755885997,0.9579409918392969,807.0
accuracy,0.9620360551431602,0.9620360551431602,0.9620360551431602,0.9620360551431602
macro avg,0.9557492425525114,0.9383924692149312,0.9468000355306149,4715.0
weighted avg,0.9617371677637638,0.9620360551431602,0.9617084105834233,4715.0
