,precision,recall,f1-score,support
Depression,0.9104739613809245,0.99584,0.9512456059911356,3125.0
High Blood Pressure,0.9632107023411371,0.735632183908046,0.834178131788559,783.0
Type 2 Diabetes,0.9814020028612304,0.8500619578686494,0.9110225763612217,807.0
accuracy,0.9276776246023329,0.9276776246023329,0.9276776246023329,0.9276776246023329
macro avg,0.9516955555277641,0.8605113805922318,0.8988154380469721,4715.0
weighted avg,0.9313714794395571,0.9276776246023329,0.924920300113732,4715.0
